CAMIS,BORO,BUILDING,STREET,ZIPCODE,PHONE,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40365387,MANHATTAN,106,WEST HOUSTON STREET                                                                                 ,10012,2126773820,09/05/2012,06F,Critical,7,A,09/05/2012,10/26/2014,Cycle Inspection / Re-inspection
40365387,MANHATTAN,106,WEST HOUSTON STREET                                                                                 ,10012,2126773820,09/05/2012,10F,Not Critical,7,A,09/05/2012,10/26/2014,Cycle Inspection / Re-inspection
40365414,MANHATTAN,405,EAST   52 STREET                                                                                    ,10022,2127556244,09/17/2012,04M,Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40365414,MANHATTAN,405,EAST   52 STREET                                                                                    ,10022,2127556244,09/17/2012,08A,Not Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40365414,MANHATTAN,405,EAST   52 STREET                                                                                    ,10022,2127556244,09/17/2012,10B,Not Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40365454,STATEN ISLAND,1758,VICTORY BOULEVARD,10314,7189810887,09/20/2012,03B,Critical,25,,,10/26/2014,Cycle Inspection / Initial Inspection
40365454,STATEN ISLAND,1758,VICTORY BOULEVARD,10314,7189810887,09/20/2012,04L,Critical,25,,,10/26/2014,Cycle Inspection / Initial Inspection
40365454,STATEN ISLAND,1758,VICTORY BOULEVARD,10314,7189810887,09/20/2012,08A,Not Critical,25,,,10/26/2014,Cycle Inspection / Initial Inspection
40365454,STATEN ISLAND,1758,VICTORY BOULEVARD,10314,7189810887,09/20/2012,08C,Not Critical,25,,,10/26/2014,Cycle Inspection / Initial Inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/20/2012,02G,Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Re-inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/20/2012,04L,Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Re-inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/20/2012,04M,Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Re-inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/20/2012,16B,Not Critical,,,,10/26/2014,Trans Fat / Re-inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/11/2012,06E,Critical,8,,,10/26/2014,Cycle Inspection / Initial Inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/11/2012,10F,Not Critical,8,,,10/26/2014,Cycle Inspection / Initial Inspection
40365546,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,09/11/2012,16B,Not Critical,,,,10/26/2014,Trans Fat / Initial Inspection
40365644,MANHATTAN,326,WEST 46 STREET,10036,2125816464,09/11/2012,06C,Critical,5,A,09/11/2012,10/26/2014,Cycle Inspection / Initial Inspection
40365968,MANHATTAN,1,LISPENARD STREET,10013,2122269943,09/17/2012,04L,Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Initial Inspection
40365968,MANHATTAN,1,LISPENARD STREET,10013,2122269943,09/17/2012,08A,Not Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Initial Inspection
40365968,MANHATTAN,1,LISPENARD STREET,10013,2122269943,09/17/2012,10B,Not Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Initial Inspection
40366284,MANHATTAN,541,COLUMBUS AVENUE,10024,2128746780,09/21/2012,02G,Critical,10,,,10/26/2014,Cycle Inspection / Initial Inspection
40366928,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600,09/28/2012,02B,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40366928,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600,09/28/2012,06C,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40366928,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600,09/28/2012,06E,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40367377,QUEENS,6946,MYRTLE AVENUE                                                                                       ,11385,7183863014,09/17/2012,02G,Critical,42,,,10/26/2014,Cycle Inspection / Initial Inspection
40367377,QUEENS,6946,MYRTLE AVENUE                                                                                       ,11385,7183863014,09/17/2012,04L,Critical,42,,,10/26/2014,Cycle Inspection / Initial Inspection
40367377,QUEENS,6946,MYRTLE AVENUE                                                                                       ,11385,7183863014,09/17/2012,04N,Critical,42,,,10/26/2014,Cycle Inspection / Initial Inspection
40367377,QUEENS,6946,MYRTLE AVENUE                                                                                       ,11385,7183863014,09/17/2012,08A,Not Critical,42,,,10/26/2014,Cycle Inspection / Initial Inspection
40367377,QUEENS,6946,MYRTLE AVENUE                                                                                       ,11385,7183863014,09/17/2012,10D,Not Critical,42,,,10/26/2014,Cycle Inspection / Initial Inspection
40367544,MANHATTAN,406,EAST 73 STREET,10021,2127377659,09/04/2012,04L,Critical,9,P,09/04/2012,10/26/2014,Cycle Inspection / Reopening Inspection
40367544,MANHATTAN,406,EAST 73 STREET,10021,2127377659,09/04/2012,08A,Not Critical,9,P,09/04/2012,10/26/2014,Cycle Inspection / Reopening Inspection
40367789,QUEENS,81-28,LEFFERTS BOULEVARD,11415,7188462849,09/12/2012,06B,Critical,8,A,09/12/2012,10/26/2014,Cycle Inspection / Initial Inspection
40367789,QUEENS,81-28,LEFFERTS BOULEVARD,11415,7188462849,09/12/2012,10F,Not Critical,8,A,09/12/2012,10/26/2014,Cycle Inspection / Initial Inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/17/2012,06C,Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/17/2012,06D,Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/17/2012,10F,Not Critical,12,A,09/17/2012,10/26/2014,Cycle Inspection / Re-inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/04/2012,02B,Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/04/2012,06C,Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40367841,MANHATTAN,1900,BROADWAY,10023,2125955330,09/04/2012,10B,Not Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40368065,MANHATTAN,320,EAST 43 STREET,10017,2125734648,09/11/2012,02G,Critical,11,A,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40368065,MANHATTAN,320,EAST 43 STREET,10017,2125734648,09/11/2012,10B,Not Critical,11,A,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40368065,MANHATTAN,320,EAST 43 STREET,10017,2125734648,09/11/2012,10F,Not Critical,11,A,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40368207,BROOKLYN,5823,AVENUE T,11234,7182414910,09/06/2012,10B,Not Critical,7,A,09/06/2012,10/26/2014,Cycle Inspection / Initial Inspection
40368207,BROOKLYN,5823,AVENUE T,11234,7182414910,09/06/2012,10F,Not Critical,7,A,09/06/2012,10/26/2014,Cycle Inspection / Initial Inspection
40368318,MANHATTAN,21,EAST   47 STREET                                                                                    ,10017,2127535757,09/26/2012,06C,Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40368318,MANHATTAN,21,EAST   47 STREET                                                                                    ,10017,2127535757,09/26/2012,06D,Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40368318,MANHATTAN,21,EAST   47 STREET                                                                                    ,10017,2127535757,09/26/2012,10F,Not Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40368552,MANHATTAN,155157,CHRISTIE ST.                                                                                        ,10002,2126730330,09/21/2012,10B,Not Critical,5,A,09/21/2012,10/26/2014,Cycle Inspection / Re-inspection
40368552,MANHATTAN,155157,CHRISTIE ST.                                                                                        ,10002,2126730330,09/21/2012,10D,Not Critical,5,A,09/21/2012,10/26/2014,Cycle Inspection / Re-inspection
40368632,BROOKLYN,7504,13 AVENUE,11228,7187454371,09/06/2012,06B,Critical,12,A,09/06/2012,10/26/2014,Cycle Inspection / Re-inspection
40368632,BROOKLYN,7504,13 AVENUE,11228,7187454371,09/06/2012,06E,Critical,12,A,09/06/2012,10/26/2014,Cycle Inspection / Re-inspection
40368632,BROOKLYN,7504,13 AVENUE,11228,7187454371,09/06/2012,10F,Not Critical,12,A,09/06/2012,10/26/2014,Cycle Inspection / Re-inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,04M,Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,04N,Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,06C,Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,06F,Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,08A,Not Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,10F,Not Critical,27,,,10/26/2014,Cycle Inspection / Initial Inspection
40368725,MANHATTAN,245,WEST   16 STREET                                                                                    ,10011,2127272132,09/07/2012,16B,Not Critical,,,,10/26/2014,Trans Fat / Initial Inspection
40369087,BRONX,3533,JOHNSON AVENUE,10463,7188846476,09/26/2012,04M,Critical,9,A,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40369087,BRONX,3533,JOHNSON AVENUE,10463,7188846476,09/26/2012,08A,Not Critical,9,A,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40369213,QUEENS,3005,WHITESTONE EXPRESSWAY                                                                               ,11354,7183536300,09/15/2012,04A,Critical,26,B,09/15/2012,10/26/2014,Cycle Inspection / Re-inspection
40369213,QUEENS,3005,WHITESTONE EXPRESSWAY                                                                               ,11354,7183536300,09/15/2012,04N,Critical,26,B,09/15/2012,10/26/2014,Cycle Inspection / Re-inspection
40369213,QUEENS,3005,WHITESTONE EXPRESSWAY                                                                               ,11354,7183536300,09/15/2012,06E,Critical,26,B,09/15/2012,10/26/2014,Cycle Inspection / Re-inspection
40369213,QUEENS,3005,WHITESTONE EXPRESSWAY                                                                               ,11354,7183536300,09/15/2012,08A,Not Critical,26,B,09/15/2012,10/26/2014,Cycle Inspection / Re-inspection
40369262,QUEENS,8502,GRAND AVENUE                                                                                        ,11373,7184577561,09/12/2012,04L,Critical,9,A,09/12/2012,10/26/2014,Cycle Inspection / Initial Inspection
40369262,QUEENS,8502,GRAND AVENUE                                                                                        ,11373,7184577561,09/12/2012,08A,Not Critical,9,A,09/12/2012,10/26/2014,Cycle Inspection / Initial Inspection
40369400,MANHATTAN,25,BRIDGE STREET,10004,2126689046,09/13/2012,06D,Critical,8,A,09/13/2012,10/26/2014,Cycle Inspection / Re-inspection
40369400,MANHATTAN,25,BRIDGE STREET,10004,2126689046,09/13/2012,10F,Not Critical,8,A,09/13/2012,10/26/2014,Cycle Inspection / Re-inspection
40369418,MANHATTAN,119,MAC DOUGAL STREET                                                                                   ,10012,2124759557,09/04/2012,06C,Critical,9,A,09/04/2012,10/26/2014,Cycle Inspection / Re-inspection
40369418,MANHATTAN,119,MAC DOUGAL STREET                                                                                   ,10012,2124759557,09/04/2012,09C,Not Critical,9,A,09/04/2012,10/26/2014,Cycle Inspection / Re-inspection
40369418,MANHATTAN,119,MAC DOUGAL STREET                                                                                   ,10012,2124759557,09/04/2012,10F,Not Critical,9,A,09/04/2012,10/26/2014,Cycle Inspection / Re-inspection
40369619,MANHATTAN,126,CHAMBERS STREET                                                                                     ,10007,2129640946,09/18/2012,10F,Not Critical,3,A,09/18/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370015,BROOKLYN,32,WITHERS STREET,11211,7183848831,09/20/2012,02I,Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40370015,BROOKLYN,32,WITHERS STREET,11211,7183848831,09/20/2012,04L,Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40370015,BROOKLYN,32,WITHERS STREET,11211,7183848831,09/20/2012,08A,Not Critical,16,,,10/26/2014,Cycle Inspection / Initial Inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/24/2012,04H,Critical,15,B,09/24/2012,10/26/2014,Cycle Inspection / Re-inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/24/2012,04N,Critical,15,B,09/24/2012,10/26/2014,Cycle Inspection / Re-inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/24/2012,08B,Not Critical,15,B,09/24/2012,10/26/2014,Cycle Inspection / Re-inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/11/2012,04L,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/11/2012,04N,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/11/2012,06F,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/11/2012,10B,Not Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40370150,BRONX,4272,KATONAH AVENUE,10470,7186553201,09/11/2012,10F,Not Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40370239,QUEENS,14474,NORTHERN BOULEVARD                                                                                  ,11354,7184633917,09/13/2012,04H,Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40370239,QUEENS,14474,NORTHERN BOULEVARD                                                                                  ,11354,7184633917,09/13/2012,04N,Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40370239,QUEENS,14474,NORTHERN BOULEVARD                                                                                  ,11354,7184633917,09/13/2012,08A,Not Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40370356,STATEN ISLAND,3267,RICHMOND AVENUE                                                                                     ,10312,7189483800,09/20/2012,04C,Critical,35,,,10/26/2014,Cycle Inspection / Compliance Inspection
40370356,STATEN ISLAND,3267,RICHMOND AVENUE                                                                                     ,10312,7189483800,09/20/2012,04N,Critical,35,,,10/26/2014,Cycle Inspection / Compliance Inspection
40370356,STATEN ISLAND,3267,RICHMOND AVENUE                                                                                     ,10312,7189483800,09/20/2012,08A,Not Critical,35,,,10/26/2014,Cycle Inspection / Compliance Inspection
40370356,STATEN ISLAND,3267,RICHMOND AVENUE                                                                                     ,10312,7189483800,09/20/2012,10F,Not Critical,35,,,10/26/2014,Cycle Inspection / Compliance Inspection
40370766,MANHATTAN,201,EAST   49 STREET                                                                                    ,10017,2127531530,09/06/2012,06D,Critical,9,A,09/06/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370766,MANHATTAN,201,EAST   49 STREET                                                                                    ,10017,2127531530,09/06/2012,10B,Not Critical,9,A,09/06/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370766,MANHATTAN,201,EAST   49 STREET                                                                                    ,10017,2127531530,09/06/2012,10F,Not Critical,9,A,09/06/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370939,QUEENS,1327,JACKSON AVENUE                                                                                      ,11101,7187294602,09/14/2012,06C,Critical,12,A,09/14/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370939,QUEENS,1327,JACKSON AVENUE                                                                                      ,11101,7187294602,09/14/2012,06D,Critical,12,A,09/14/2012,10/26/2014,Cycle Inspection / Initial Inspection
40370939,QUEENS,1327,JACKSON AVENUE                                                                                      ,11101,7187294602,09/14/2012,09C,Not Critical,12,A,09/14/2012,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,05D,Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,06D,Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,08C,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,10D,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,10J,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40371941,BROOKLYN,5505,CHURCH AVENUE,11203,3472958929,09/06/2012,,Not Applicable,,,,10/26/2014,Administrative Miscellaneous / Initial Inspection
40372112,BROOKLYN,7717,THIRD AVENUE                                                                                        ,11209,7188338200,09/21/2012,06C,Critical,15,,,10/26/2014,Cycle Inspection / Initial Inspection
40372112,BROOKLYN,7717,THIRD AVENUE                                                                                        ,11209,7188338200,09/21/2012,06E,Critical,15,,,10/26/2014,Cycle Inspection / Initial Inspection
40372112,BROOKLYN,7717,THIRD AVENUE                                                                                        ,11209,7188338200,09/21/2012,10F,Not Critical,15,,,10/26/2014,Cycle Inspection / Initial Inspection
40372112,BROOKLYN,7717,THIRD AVENUE                                                                                        ,11209,7188338200,09/21/2012,16B,Not Critical,,,,10/26/2014,Trans Fat / Initial Inspection
40372262,MANHATTAN,605,HUDSON STREET                                                                                       ,10014,2122554406,09/18/2012,02G,Critical,23,,,10/26/2014,Cycle Inspection / Initial Inspection
40372262,MANHATTAN,605,HUDSON STREET                                                                                       ,10014,2122554406,09/18/2012,04H,Critical,23,,,10/26/2014,Cycle Inspection / Initial Inspection
40372262,MANHATTAN,605,HUDSON STREET                                                                                       ,10014,2122554406,09/18/2012,04L,Critical,23,,,10/26/2014,Cycle Inspection / Initial Inspection
40372596,BROOKLYN,267,SCHENECTADY AVENUE,11213,7187739523,09/26/2012,04L,Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40372596,BROOKLYN,267,SCHENECTADY AVENUE,11213,7187739523,09/26/2012,08A,Not Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40372596,BROOKLYN,267,SCHENECTADY AVENUE,11213,7187739523,09/26/2012,10F,Not Critical,13,A,09/26/2012,10/26/2014,Cycle Inspection / Initial Inspection
40372944,MANHATTAN,322,7 AVENUE,10001,2122390760,09/26/2012,04H,Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40372944,MANHATTAN,322,7 AVENUE,10001,2122390760,09/26/2012,04L,Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40372944,MANHATTAN,322,7 AVENUE,10001,2122390760,09/26/2012,08A,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40372944,MANHATTAN,322,7 AVENUE,10001,2122390760,09/26/2012,10F,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40372944,MANHATTAN,322,7 AVENUE,10001,2122390760,09/26/2012,10H,Not Critical,22,,,10/26/2014,Cycle Inspection / Initial Inspection
40373272,BROOKLYN,44,HENRY STREET                                                                                        ,11201,7188341776,09/12/2012,02G,Critical,13,A,09/12/2012,10/26/2014,Cycle Inspection / Re-inspection
